container_code,season,year,site,functional_group,common_name,species_name,spp_code,replicate_number,SL_cm,TL_cm,WT_g,fate_c_r,DO%,DO_mg,Temp_C,Salinity_ppt,Depth_m,conductivity,Drift_gal,lat.,long.,time in,time out
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,5.4,4.3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,6.8,4.9,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,7.4,4,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,6.3,6.4,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,5.4,4.6,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,5.1,3.8,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,1.5,0.1,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.9,3.1,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.9,3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.9,5.9,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,5.4,1.3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,6.2,7.6,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,6.9,6.3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.1,1.9,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,1.3,0.1,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,5.7,5.9,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,6,6.3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.1,1.8,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.7,3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,5.9,3.3,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,8.4,14.7,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.6,2.7,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,7.1,9.1,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,4.4,2.4,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,6.4,6.8,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
FIMS_1,Dry,2024,TS10,,Tidewater Mojarra,,,1,,3.3,1,c,76,5.1,26.8,31,0.8,47670,4,,,9:12,9:41
